"ID1","ID2","HRO","relatedness","kintype","parent_offspring","agediff","yrsoverlap","adult_yrsoverlap","joint_sightings"
"ID084","ID161",0.533312846272068,NA,"no data","N",28,10,6,37
"ID161","ID084",0.533312846272068,NA,"no data","N",28,10,6,37
"ID134","ID161",0.199965566972403,NA,"no data","N",18,10,10,46
"ID161","ID134",0.199965566972403,NA,"no data","N",18,10,10,46
"ID161","ID150",0.556271229319301,NA,"no data","N",26,10,9,133
"ID150","ID161",0.556271229319301,NA,"no data","N",26,10,9,133
"ID128","ID161",0.642653679157677,NA,"no data","N",38,3,NA,7
"ID161","ID128",0.642653679157677,NA,"no data","N",38,3,NA,7
"ID129","ID161",0.258736465233809,NA,"no data","N",40,2,NA,4
"ID161","ID129",0.258736465233809,NA,"no data","N",40,2,NA,4
"ID161","ID017",0.375282330035975,NA,"no data","N",30,3,NA,33
"ID017","ID161",0.375282330035975,NA,"no data","N",30,3,NA,33
"ID161","ID049",0.614054732532832,NA,"no data","N",28,10,6,113
"ID049","ID161",0.614054732532832,NA,"no data","N",28,10,6,113
"ID161","ID057",0.55086447580468,NA,"no data","N",14,10,10,97
"ID057","ID161",0.55086447580468,NA,"no data","N",14,10,10,97
"ID147","ID048",0.668043547888284,NA,"no data","N",14,11,11,108
"ID048","ID147",0.668043547888284,NA,"no data","N",14,11,11,108
"ID147","ID120",0.658394760058927,0,"unrelated","N",7,13,11,134
"ID120","ID147",0.658394760058927,0,"unrelated","N",7,13,11,134
"ID015","ID147",0.0934059575804025,0.0222,"unrelated","N",7,13,11,160
"ID147","ID015",0.0934059575804025,0.0222,"unrelated","N",7,13,11,160
"ID132","ID147",0.753233573646683,0.0472,"distant","N",16,8,8,165
"ID147","ID132",0.753233573646683,0.0472,"distant","N",16,8,8,165
"ID176","ID147",0.760239736211763,0,"unrelated","N",9,13,9,156
"ID147","ID176",0.760239736211763,0,"unrelated","N",9,13,9,156
"ID147","ID162",0.773179113506735,0.0213,"unrelated","N",17,7,NA,168
"ID162","ID147",0.773179113506735,0.0213,"unrelated","N",17,7,NA,168
"ID071","ID147",0.420220159041146,NA,"no data","N",17,7,7,84
"ID147","ID071",0.420220159041146,NA,"no data","N",17,7,7,84
"ID147","ID133",0.21306708727298,0,"unrelated","N",0,13,13,135
"ID133","ID147",0.21306708727298,0,"unrelated","N",0,13,13,135
"ID147","ID041",0.324191264165911,0,"unrelated","N",12,13,13,163
"ID041","ID147",0.324191264165911,0,"unrelated","N",12,13,13,163
"ID116","ID147",0.501538544860044,0.0071,"unrelated","N",16,8,NA,147
"ID147","ID116",0.501538544860044,0.0071,"unrelated","N",16,8,NA,147
"ID147","ID138",0.629912326987467,0,"unrelated","N",15,9,3,113
"ID138","ID147",0.629912326987467,0,"unrelated","N",15,9,3,113
"ID158","ID147",0.666849430439943,0.0041,"unrelated","N",4,13,13,135
"ID147","ID158",0.666849430439943,0.0041,"unrelated","N",4,13,13,135
"ID164","ID147",0.942236819290846,0.013,"unrelated","N",2,8,8,148
"ID147","ID164",0.942236819290846,0.013,"unrelated","N",2,8,8,148
"ID154","ID147",0.126835013408128,NA,"no data","N",10,13,8,132
"ID147","ID154",0.126835013408128,NA,"no data","N",10,13,8,132
"ID054","ID147",0.409420326408586,0,"unrelated","N",5,13,13,157
"ID147","ID054",0.409420326408586,0,"unrelated","N",5,13,13,157
"ID135","ID147",0.348427655942549,0.0013,"unrelated","N",9,13,9,190
"ID147","ID135",0.348427655942549,0.0013,"unrelated","N",9,13,9,190
"ID147","ID020",0.724354495199686,0,"unrelated","N",1,13,13,338
"ID020","ID147",0.724354495199686,0,"unrelated","N",1,13,13,338
"ID124","ID147",0.0526624935489328,NA,"no data","N",1,12,12,125
"ID147","ID124",0.0526624935489328,NA,"no data","N",1,12,12,125
"ID147","ID141",0.511030897303211,6e-04,"unrelated","N",3,11,11,126
"ID141","ID147",0.511030897303211,6e-04,"unrelated","N",3,11,11,126
"ID063","ID147",0.716126484738759,0.036,"unrelated","N",15,12,12,293
"ID147","ID063",0.716126484738759,0.036,"unrelated","N",15,12,12,293
"ID147","ID026",0.355162137160891,0,"unrelated","N",14,11,4,129
"ID026","ID147",0.355162137160891,0,"unrelated","N",14,11,4,129
"ID147","ID002",0.0515956958786679,0.0026,"unrelated","N",6,13,12,154
"ID002","ID147",0.0515956958786679,0.0026,"unrelated","N",6,13,12,154
"ID079","ID147",0.0923974411110643,0,"unrelated","N",8,13,10,153
"ID147","ID079",0.0923974411110643,0,"unrelated","N",8,13,10,153
"ID166","ID147",0.289054664752183,0,"unrelated","N",15,10,4,130
"ID147","ID166",0.289054664752183,0,"unrelated","N",15,10,4,130
"ID147","ID156",0.0246714489395775,0,"unrelated","N",15,13,13,131
"ID156","ID147",0.0246714489395775,0,"unrelated","N",15,13,13,131
"ID147","ID008",0.953924071846638,0,"unrelated","N",6,13,12,246
"ID008","ID147",0.953924071846638,0,"unrelated","N",6,13,12,246
"ID109","ID147",0,NA,"no data","N",7,12,12,124
"ID147","ID109",0,NA,"no data","N",7,12,12,124
"ID147","ID121",0.524154625127345,0,"unrelated","N",2,13,13,149
"ID121","ID147",0.524154625127345,0,"unrelated","N",2,13,13,149
"ID004","ID147",0.924707212298089,0,"unrelated","N",20,4,NA,97
"ID147","ID004",0.924707212298089,0,"unrelated","N",20,4,NA,97
"ID147","ID094",0.536191167332069,NA,"no data","N",11,13,8,134
