"Observation.ID","Date","Dolphin.ID","Age"
20862,2015-07-18,"ID093",26
20862,2015-07-18,"ID118",28
20862,2015-07-18,"ID141",21
20862,2015-07-18,"ID053",15
25318,2018-11-02,"ID004",7
17376,2009-12-05,"ID020",17
17376,2009-12-05,"ID137",15
17376,2009-12-05,"ID117",30
17691,2010-10-07,"ID164",21
17691,2010-10-07,"ID060",31
18266,2012-06-16,"ID105",15
19022,2013-08-03,"ID105",16
19022,2013-08-03,"ID164",24
19057,2013-08-23,"ID130",29
19057,2013-08-23,"ID063",37
20553,2015-06-06,"ID059",4
20553,2015-06-06,"ID052",21
20553,2015-06-06,"ID114",21
20553,2015-06-06,"ID150",17
24793,2018-07-17,"ID063",42
26067,2019-06-30,"ID065",11
18099,2011-10-16,"ID114",17
19992,2014-09-26,"ID036",12
20030,2014-10-14,"ID053",14
20030,2014-10-14,"ID046",30
21507,2016-04-23,"ID064",12
21507,2016-04-23,"ID162",8
21507,2016-04-23,"ID020",23
21507,2016-04-23,"ID063",39
22190,2017-06-06,"ID011",25
22467,2017-10-06,"ID116",10
22502,2017-10-14,"ID172",38
22502,2017-10-14,"ID135",17
22502,2017-10-14,"ID166",12
24648,2018-07-01,"ID153",11
24648,2018-07-01,"ID009",6
25777,2019-07-22,"ID041",40
25879,2019-09-30,"ID151",9
25879,2019-09-30,"ID008",22
25879,2019-09-30,"ID004",8
25879,2019-09-30,"ID112",28
16775,2008-08-24,"ID150",10
17078,2009-08-02,"ID169",8
18328,2012-07-01,"ID107",38
18363,2012-07-06,"ID166",6
18363,2012-07-06,"ID121",19
18363,2012-07-06,"ID125",12
18702,2012-10-27,"ID037",14
19185,2013-10-02,"ID117",34
21439,2015-10-30,"ID054",29
22234,2017-06-14,"ID093",28
22234,2017-06-14,"ID024",36
22234,2017-06-14,"ID141",23
26026,2019-06-19,"ID120",21
26026,2019-06-19,"ID121",26
17857,2011-05-28,"ID046",27
18164,2011-11-23,"ID147",20
22758,2018-06-22,"ID064",15
22758,2018-06-22,"ID063",42
16510,2008-06-14,"ID159",22
16519,2008-06-16,"ID134",18
18666,2012-10-13,"ID046",28
19259,2013-10-17,"ID171",12
19259,2013-10-17,"ID049",13
20188,2014-11-17,"ID048",37
22007,2016-10-06,"ID137",22
22007,2016-10-06,"ID117",37
25233,2018-08-31,"ID015",20
25693,2019-06-25,"ID008",22
25872,2019-08-03,"ID065",12
18494,2012-08-10,"ID090",15
18876,2013-07-01,"ID071",39
21312,2015-09-29,"ID043",16
21312,2015-09-29,"ID037",17
21636,2016-05-28,"ID056",20
26050,2019-06-24,"ID055",30
16736,2008-08-11,"ID027",38
16736,2008-08-11,"ID064",5
16736,2008-08-11,"ID105",11
16736,2008-08-11,"ID130",24
16736,2008-08-11,"ID164",19
16736,2008-08-11,"ID020",16
16736,2008-08-11,"ID063",32
17612,2010-07-29,"ID158",23
17651,2010-09-19,"ID105",13
19964,2014-09-24,"ID054",28
20671,2015-06-16,"ID132",39
20687,2015-06-18,"ID083",14
20687,2015-06-18,"ID108",19
20687,2015-06-18,"ID119",33
20687,2015-06-18,"ID122",28
20687,2015-06-18,"ID015",16
20687,2015-06-18,"ID002",18
20687,2015-06-18,"ID037",16
20687,2015-06-18,"ID160",28
21081,2015-08-23,"ID061",9
21081,2015-08-23,"ID170",29
21866,2016-08-30,"ID116",9
21933,2016-09-25,"ID059",5
21933,2016-09-25,"ID150",18
22179,2017-06-01,"ID139",15
17297,2009-11-02,"ID168",14
17297,2009-11-02,"ID160",22
17585,2010-07-23,"ID117",31
17641,2010-09-16,"ID169",9
17641,2010-09-16,"ID176",10
18731,2013-05-19,"ID153",6
18731,2013-05-19,"ID105",15
18731,2013-05-19,"ID162",5
18731,2013-05-19,"ID020",20
18731,2013-05-19,"ID063",36
18731,2013-05-19,"ID008",16
18731,2013-05-19,"ID062",3
19346,2013-10-28,"ID094",11
21182,2015-09-04,"ID059",4
21182,2015-09-04,"ID087",17
21182,2015-09-04,"ID066",22
21182,2015-09-04,"ID064",12
21182,2015-09-04,"ID099",28
21182,2015-09-04,"ID153",8
21182,2015-09-04,"ID110",10
21182,2015-09-04,"ID171",14
21182,2015-09-04,"ID130",31
21182,2015-09-04,"ID114",21
21182,2015-09-04,"ID150",17
21182,2015-09-04,"ID049",15
21255,2015-09-17,"ID029",16
21961,2016-10-04,"ID108",20
21961,2016-10-04,"ID069",5
21961,2016-10-04,"ID142",7
21961,2016-10-04,"ID062",7
21961,2016-10-04,"ID035",19
24659,2018-06-10,"ID050",16
24813,2018-07-23,"ID158",31
17414,2010-04-07,"ID126",35
17414,2010-04-07,"ID164",20
17414,2010-04-07,"ID008",12
19334,2013-10-26,"ID134",23
19540,2013-11-22,"ID077",24
22338,2017-07-01,"ID045",20
22338,2017-07-01,"ID041",38
25307,2018-10-16,"ID151",8
25307,2018-10-16,"ID162",10
25307,2018-10-16,"ID008",21
25307,2018-10-16,"ID004",7
25307,2018-10-16,"ID112",27
25307,2018-10-16,"ID049",18
26010,2019-10-29,"ID142",10
26010,2019-10-29,"ID130",35
26010,2019-10-29,"ID035",22
26071,2019-07-01,"ID153",12
16891,2009-06-16,"ID106",38
17709,2010-10-08,"ID029",11
17709,2010-10-08,"ID130",26
17792,2010-11-03,"ID169",9
17792,2010-11-03,"ID176",10
17792,2010-11-03,"ID091",4
19056,2013-08-23,"ID153",6
19234,2013-10-13,"ID117",34
19689,2014-06-29,"ID021",14
19689,2014-06-29,"ID058",17
20711,2015-06-20,"ID029",16
24736,2018-07-04,"ID162",10
26370,2019-12-06,"ID027",49
16365,2007-06-26,"ID020",15
16365,2007-06-26,"ID017",5
17678,2010-09-23,"ID100",24
17678,2010-09-23,"ID074",33
17678,2010-09-23,"ID126",36
18335,2012-07-02,"ID086",9
18456,2012-07-30,"ID057",26
18524,2012-08-30,"ID081",35
18686,2012-10-20,"ID065",5
